"source","term_literal","term_uri","text","validation_outcome"
"/08547/Museu_ProvidedCHO_Stadtgeschichtliches_Museum_Leipzig_ST000526","Indianer","http://data.europa.eu/c4p/data/t_38_de","Ein beidseitig bedruckter Handzettel über ein Verzeichniß der sich im Museum befindenden Naturalien, Waffen und Kunstsachen. Vom Nord- und Südpol, und aus andern entfernten Weltgegenden. Gezeigt wurden vor allem zwei junge Esquimaux-Indianer (Eskimo) sowie Kopf (Präparat) eines neuseeländischen Häuptlings (Tippahee oder Ti Pahee (Maori)) mit Landestrach.","accept"
"/08547/Museu_ProvidedCHO_Stadtgeschichtliches_Museum_Leipzig_ST000526","Häuptling","http://data.europa.eu/c4p/data/t_126_de","Ein beidseitig bedruckter Handzettel über ein Verzeichniß der sich im Museum befindenden Naturalien, Waffen und Kunstsachen. Vom Nord- und Südpol, und aus andern entfernten Weltgegenden. Gezeigt wurden vor allem zwei junge Esquimaux-Indianer (Eskimo) sowie Kopf (Präparat) eines neuseeländischen Häuptlings (Tippahee oder Ti Pahee (Maori)) mit Landestrach.","accept"
"/08547/Museu_ProvidedCHO_Stadtgeschichtliches_Museum_Leipzig_Z0001602","Farbig","http://data.europa.eu/c4p/data/t_105_de","Kleines Porzellanpüppchen mit gehäkelter Kleidung, farbiger Indianerhäuptling","accept"
"/08547/Museu_ProvidedCHO_Stadtgeschichtliches_Museum_Leipzig_Z0118553","Schacherer","http://data.europa.eu/c4p/data/t_59_de","Genannte Person: Hartmann Schacher","reject"
"/08621/13766472083061376647208306","Primitiv","http://data.europa.eu/c4p/data/t_82_de","Beitrag: 1 / Auch in Budapest wird fleißig trainiert (00:00:19)  
				  
				 Beitrag: 2 / Feuersichere Kleidung (00:01:19)  
				  
				 Beitrag: 3 / Gelehrige Schüler (00:01:52)  
				  
				 Beitrag: 4 / Präsident Masaryk, der im Alter von 85 Jahren von seinem Posten als Staatsoberhaupt zurücktritt (00:02:45)  
				  
				 Beitrag: 5 / Ein Kinder-Paradies (00:03:19)  
				  
				 Beitrag: 6 / Pythonschlangen. Die primitiven Jagdmethoden der Eingeborenen (00:04:13)  
				  
				 Beitrag: 7 / Leichtathletisches Meeting anlässlich der Eröffnung eines Stadions in Schanghai (00:05:04)  
				  
				 Beitrag: 8 / Stürme an der atlantischen Küste (00:05:45)  
				  
				 Beitrag: 9 / Training unserer Skimeister im Großglocknergebiet (00:06:28)","accept"
"/188/item_2TWGIOZFCZCFGGMSITUP3XWBGDXYQM6P","Eingeborener","http://data.europa.eu/c4p/data/t_85_de","Eingeborener","accept"
"/188/item_43GANN7COGEI4QRY7ZUMPWPHQJEEBTHB","Behinderte","http://data.europa.eu/c4p/data/t_25_de","Örebro - Behinderte Frau","accept"
"/188/item_4AACRYIYSB4J4XHQXYUI74M63YTJPA7M","Indianer","http://data.europa.eu/c4p/data/t_38_de","Eine Kuna-Indianerin sitzt vor ihrer Wohnhütte, im Hintergrund sind textile Mola-Kunstwerke zu sehen. Aufgenommen am 12. September 2011 auf einer der San Blas Inseln im autonomen Gebiet der Kuna-Indianer vor der Atlantikküste der Republik Panama","accept"
"/188/item_5VE2RZRA374UCCMCBSY3YFR2CMTLTJTZ","Behinderter","http://data.europa.eu/c4p/data/t_24_de","Vor einer Kirche steht ein behinderter Mann und bettelt. Aufgenommen am 17. Mai 2011 im Zentrum von Varna","reject"
"/188/item_6BZW4DMV6XUUB3HGIY4SBELWQESWCPHN","Indianerin","http://data.europa.eu/c4p/data/t_39_de","Bildnis ; Portrait ; Frauenbildnis ; Frauenportrait ; 20. Jahrhundert ; Kinderbildnis ; Kinderportrait ; Mädchenbildnis ; Mädchenportrait ; Indianer ; Indianerin ; indigene Völker ; USA ; Vereinigte Staaten von Amerika ; Nordamerika ; Amerika ; Fotografie","accept"
"/188/item_HCC72CSSSK5KJU3NPZFEEDTHRRXDFOXM","Behinderte","http://data.europa.eu/c4p/data/t_25_de","Lissabon: Gruppe von Behinderten posiert für eine Gruppenfoto auf dem Praca do Comercio unter dem Denkmal von König Jose I., aufgenommen 2006","accept"
"/2064108/Museu_ProvidedCHO_Antikensammlung__Staatliche_Museen_zu_Berlin_DE_MUS_814319_694161","Barbar","http://data.europa.eu/c4p/data/t_33_de","Römische Statuette eines Dunkelhäutigen oder Barbaren mit Hosen","accept"
"/2064108/Museu_ProvidedCHO_Ethnologisches_Museum__Staatliche_Museen_zu_Berlin_DE_MUS_019118_1565729","Eingeborener","http://data.europa.eu/c4p/data/t_85_de","""Schnitzerei der Eingeborenen von Australien""","accept"
"/2064108/Museu_ProvidedCHO_Ethnologisches_Museum__Staatliche_Museen_zu_Berlin_DE_MUS_019118_1568032","Eingeborener","http://data.europa.eu/c4p/data/t_85_de","""Frau und Kinder aus dem Eingeborenen Reservat, Botany-Bay""","accept"
"/2064108/Museu_ProvidedCHO_Ethnologisches_Museum__Staatliche_Museen_zu_Berlin_DE_MUS_019118_1568910","Eingeborene","http://data.europa.eu/c4p/data/t_84_de","""Mann aus dem Eingeborenen Reservat, Botany-Bay""","accept"
"/2064108/Museu_ProvidedCHO_Ethnologisches_Museum__Staatliche_Museen_zu_Berlin_DE_MUS_019118_1581461","Eingeborene","http://data.europa.eu/c4p/data/t_84_de","""Merkwürdiger Kopfschmuck der Eingeborenen auf Neuguinea""","accept"
"/2064108/Museu_ProvidedCHO_Ethnologisches_Museum__Staatliche_Museen_zu_Berlin_DE_MUS_019118_1610324","Eingeborener","http://data.europa.eu/c4p/data/t_85_de","""Eingeborener mit Bogen und Pfeilen.""","accept"
"/2064108/Museu_ProvidedCHO_Ethnologisches_Museum__Staatliche_Museen_zu_Berlin_DE_MUS_019118_740671","Eingeborener","http://data.europa.eu/c4p/data/t_85_de","""Festlicher Empfang durch die Eingeborenen""","accept"
"/2064108/Museu_ProvidedCHO_Ethnologisches_Museum__Staatliche_Museen_zu_Berlin_DE_MUS_019118_751240","Chinese","http://data.europa.eu/c4p/data/t_122_de","Chinese Classical Masterpieces","reject"
"/2064109/Museu_ProvidedCHO_Spielzeugmuseum_der_Stadt_N_rnberg__Museum_Lydia_Bayer__39270__Datensatz_","Zigeuner","http://data.europa.eu/c4p/data/t_31_de","Theaterspielfigur : Preciosa<br/>---<br>1 Theaterfigurenensemble: 16 Figuren aus dem Stück ""Preciosa"", Pappe mit bedrucktem Papier beklebt, auf Holzklotz genagelt: 1 Edelmann ""Don Franzisko"", 1 Mann, Sohn von Don Franzisko, (""Don Alonzo""), 1 Mann, Jäger (""Don Alonzo""), 1 Adliger (""Don Fernando""), 1 Adlige (""Donna Clara""), Frau von Fernando, 1 Adliger ""Don Eugenio"", Sohn von Fernando, 1 Zigeunerhauptmann, 1 Zigeunerin (""Preciosa""), 2 Zigeunerinnen, 1 Zigeuner (""Lorenz""), 1 Zigeuner (""Sebastian""), 1 Zigeuner, 1 Schloßvogt (""Pedro""), 1 Bauer, 1 Lagerfeuer","accept"
"/2064109/Museu_ProvidedCHO_Spielzeugmuseum_der_Stadt_N_rnberg__Museum_Lydia_Bayer__55283__Datensatz_","Indianer","http://data.europa.eu/c4p/data/t_38_de","Kinder : Indianer & Eskimo & Europäer & Asiate","accept"
"/2064109/Museu_ProvidedCHO_Spielzeugmuseum_der_Stadt_N_rnberg__Museum_Lydia_Bayer__55523__Datensatz_","Indianer","http://data.europa.eu/c4p/data/t_38_de","Nationalitäten : Indianer & Eskimo & Inder & Araber & Beduine & Nubier","accept"
"/2064109/Museu_ProvidedCHO_Spielzeugmuseum_der_Stadt_N_rnberg__Museum_Lydia_Bayer__726__Datensatz_","Exotisch","http://data.europa.eu/c4p/data/t_23_de","Frau : Freiheitsgöttin? / Freiheitsallegorie & Fackel & Buch & Mädchen & Beschäftigung : Malen & Junge & Palette & Kind : Indianer & Schwarzer & Südamerikaner & Eskimo & Inderin & Chinesin & Kakadu & Pfau & Riesenschlange & Teekessel & Frucht (exotisch","accept"
"/2064109/Museu_ProvidedCHO_Spielzeugmuseum_der_Stadt_N_rnberg__Museum_Lydia_Bayer__726__Datensatz_","Indianer","http://data.europa.eu/c4p/data/t_38_de","Frau : Freiheitsgöttin? / Freiheitsallegorie & Fackel & Buch & Mädchen & Beschäftigung : Malen & Junge & Palette & Kind : Indianer & Schwarzer & Südamerikaner & Eskimo & Inderin & Chinesin & Kakadu & Pfau & Riesenschlange & Teekessel & Frucht (exotisch","accept"
