"source","term_literal","term_uri","text","validation_outcome"
"/08602/AOIZ375","Indigenous","http://data.europa.eu/c4p/data/t_123_en","The encounter between Eritrean military and indigenous warriors at the foot of an elevation","accept"
"/08602/AttualitaA29_008299","Indian","http://data.europa.eu/c4p/data/t_122_en","India an Indian with a chimp","reject"
"/08602/AttualitaA29_013718","Oriental","http://data.europa.eu/c4p/data/t_168_en","A child with oriental features sitting in a small room holds two chopsticks. On the flat trays with some dishes. Total","accept"
"/08602/D150_33","Indigenous","http://data.europa.eu/c4p/data/t_123_en","Reproduction of the Italian Institute for Africa; battle scenes between indigenous and Western; total","accept"
"/08602/SerieLL01_005225","Oriental","http://data.europa.eu/c4p/data/t_168_en","Lagosta (?) [group of armed men in Dalmatian folkloric costumes poses together with a woman in an oriental robe in a peripheral avenue of the capital] - middle camp","accept"
"/08602/VedoIL0000009276_gen28","Baboon","http://data.europa.eu/c4p/data/t_13_en","Anna Magnani shows a couple of oriental baboons. Photographers in the background - American plan.","reject"
"/08604/_filmportal_de_node_1178051","Wilderness","http://data.europa.eu/c4p/data/t_220_en","Jungle ChildBased on the bestselling novel of the same name by Sabine Kuegler, the film tells the true story of a German girl who spent her childhood with a previously unknown tribe in the jungle of West Papua: A linguistic research mission brings the parents of eight year old Sabine to the jungle of the Fayu. Far off the western civilization, she grows up as a child of the jungle, but the wilderness holds dangers of its own. When a war breaks out between the Fayu and another tribe, the close friendship to Auri, a boy of the enemy tribe, almost puts Sabine and her family between the two factions. At the age of 16, Sabine returns to Germany - a completely alien world to her.","accept"
"/08604/_filmportal_de_node_1244525","Paraplegic","http://data.europa.eu/c4p/data/t_171_en","After a grave snowboarding accident, young Valentin becomes a paraplegic. The former daredevil has to realize that his life is forever changed, and in order to cope with the new situation, he follows his mother's advice and applies for an experimental theatre workshop in Southern Tirol. Once there, Valentin eventually learns that all other participants are mentally disabled. At first, the embittered sport fanatic won't be associated with them, but gradually he begins to see the unique qualities of the individual group members.A daily highlight for Valentin are his encounters with caretaker Mira – alas, she is romantically involved with the utterly unsympathetic Marc. Nevertheless, Valentin won't give up, and with the help of his new handicapped friends Lukas and Titus, he plans to play a prank on Marc: The offbeat trio decide to rob the gas station at which their rival works.","accept"
"/08604/_filmportal_de_node_1244525","Handicapped","http://data.europa.eu/c4p/data/t_106_en","After a grave snowboarding accident, young Valentin becomes a paraplegic. The former daredevil has to realize that his life is forever changed, and in order to cope with the new situation, he follows his mother's advice and applies for an experimental theatre workshop in Southern Tirol. Once there, Valentin eventually learns that all other participants are mentally disabled. At first, the embittered sport fanatic won't be associated with them, but gradually he begins to see the unique qualities of the individual group members.A daily highlight for Valentin are his encounters with caretaker Mira – alas, she is romantically involved with the utterly unsympathetic Marc. Nevertheless, Valentin won't give up, and with the help of his new handicapped friends Lukas and Titus, he plans to play a prank on Marc: The offbeat trio decide to rob the gas station at which their rival works.","accept"
"/08604/_filmportal_de_node_1450426","Servant","http://data.europa.eu/c4p/data/t_193_en","Subs Adaptation of the novel by Thor Kunkel: Landscape architect Evi Müller-Todt and her husband Claus, a plastic surgeon, are highly successful and earn a lot of money. Given their wealth and spare free time, it just seems reasonable for them to hire a help for their estate. For fun, Claus titles the employment ad ""slaves wanted"". Yet to the couple's surprise, many people actually apply for the job. Claus and Evi decide to hire the extremely cultured Bartos and his wife Svetlana. After some initial problems, the two turn out to be marvelous household helps. Evi and Claus increasingly rely on their ""Subs"", not realizing that the tables are slowly starting to turn. When the construction of the pool that Bartos suggested requires additional ""servants"", things escalate quickly.","accept"
"/08604/_filmportal_de_node_1533780","Race","http://data.europa.eu/c4p/data/t_185_en","""Iron Sky - The Coming Race"" (2018)","reject"
"/08614/cat11498","Tribe","http://data.europa.eu/c4p/data/t_208_en","A short romantic adventure film about the difficult love between a Cheyenne Indian boy and a girl from the Sioux tribe.","accept"
"/08614/cat30720","Dwarf","http://data.europa.eu/c4p/data/t_76_en","Reportage about an ice festival in Gouda
				 On the ice-skating rink in Gouda, races were held in in the presence of hundreds of spectators, and the brass band added lustre to the whole event. The film includes footage of Circus Carré's skating dwarf August Polly. He falls down a few times, and gets everyone laughing.","accept"
"/08615/0061590","Gypsy","http://data.europa.eu/c4p/data/t_99_en","On the occasion of the celebration of independence on October 28th, 1922, the streets of Uzhgorod are full of people. Over the river, we can see the city´s sights, the district office, the gubernium, the Bishop´s houses, the Secondary school building, the castle founded in the 9th century. We can view the city also from the castle courtyard. The square is decorated with flags, there is an army parade, army officers on horses. The General Paris is also present. The parade includes an armoured car. After a festive mass, the people are leaving the Greek Catholic Bishop Church. The Ruthenians are organising a charity event for the poor and are giving away food. The Ruthenian lumberjacks are going to work. Dr Ehrenfeld is welcomed by pupils in front of their school. The atmosphere of a feast is enhanced by a number of stalls, girls in folk costumes, people praying at a chapel, procession with a cross and holy pictures. Further we can see a large gypsy family, gipsy violinist, many children. Typical example of a folk architecture is represented by a local cottage, mill with a thatched roof, wooden church with a shingle roof. In the Uzhoc pass we can see a military cemetery. A man is eating an oatmeal cake.","accept"
