"source","term_literal","term_uri","text","validation_outcome"
"/03915/public_mistral_memoire_fr_ACTION_CHERCHER_FIELD_1_REF_VALUE_1_AP23L182735","Nègre","http://data.europa.eu/c4p/data/t_23_fr","Dessin : Un nègre et une négresse","accept"
"/03915/public_mistral_memoire_fr_ACTION_CHERCHER_FIELD_1_REF_VALUE_1_AP23L182735","Négresse","http://data.europa.eu/c4p/data/t_24_fr","Dessin : Un nègre et une négresse","accept"
"/03915/public_mistral_memoire_fr_ACTION_CHERCHER_FIELD_1_REF_VALUE_1_AP66P00647","Nègre","http://data.europa.eu/c4p/data/t_23_fr","Totem bicéphale en bois, art nègre (face)","accept"
"/03915/public_mistral_memoire_fr_ACTION_CHERCHER_FIELD_1_REF_VALUE_1_AP66P00648","Nègre","http://data.europa.eu/c4p/data/t_23_fr","Totem bicéphale en bois, art nègre (profil)","accept"
"/03915/public_mistral_memoire_fr_ACTION_CHERCHER_FIELD_1_REF_VALUE_1_AP66P00650","Nègre","http://data.europa.eu/c4p/data/t_23_fr","Totem bicéphale en bois, art nègre (tête de profil)","accept"
"/03915/public_mistral_memoire_fr_ACTION_CHERCHER_FIELD_1_REF_VALUE_1_AP66P00653","Nègre","http://data.europa.eu/c4p/data/t_23_fr","Totem en bois, art nègre (face)","reject"
"/03915/public_mistral_memoire_fr_ACTION_CHERCHER_FIELD_1_REF_VALUE_1_AP66P00654","Nègre","http://data.europa.eu/c4p/data/t_23_fr","Totem en bois, art nègre (dos)","accept"
"/03915/public_mistral_memoire_fr_ACTION_CHERCHER_FIELD_1_REF_VALUE_1_AP66P00655","Nègre","http://data.europa.eu/c4p/data/t_23_fr","Totem en bois, art nègre (profil)","accept"
"/03915/public_mistral_memoire_fr_ACTION_CHERCHER_FIELD_1_REF_VALUE_1_AP66P00656","Nègre","http://data.europa.eu/c4p/data/t_23_fr","Totem en bois, art nègre (tête de trois-quarts)","accept"
"/03915/public_mistral_memoire_fr_ACTION_CHERCHER_FIELD_1_REF_VALUE_1_APD0000830","Nègre","http://data.europa.eu/c4p/data/t_23_fr","« Le village nègre » et petit cimetière","accept"
"/03915/public_mistral_memoire_fr_ACTION_CHERCHER_FIELD_1_REF_VALUE_1_APD0000919","Nègre","http://data.europa.eu/c4p/data/t_23_fr","« Village nègre » : le poste de police","accept"
"/03915/public_mistral_memoire_fr_ACTION_CHERCHER_FIELD_1_REF_VALUE_1_APD0000920","Nègre","http://data.europa.eu/c4p/data/t_23_fr","« Village nègre » : inspection des armes","accept"
"/03915/public_mistral_memoire_fr_ACTION_CHERCHER_FIELD_1_REF_VALUE_1_APD0000921","Nègre","http://data.europa.eu/c4p/data/t_23_fr","« Village nègre » : abris et cuisines dans les bois","accept"
"/03915/public_mistral_memoire_fr_ACTION_CHERCHER_FIELD_1_REF_VALUE_1_APD0000923","Nègre","http://data.europa.eu/c4p/data/t_23_fr","« Village nègre » : l'abri Oberdorf","accept"
