"source","term_literal","term_uri","text","validation_outcome"
"/08602/IL5000038866","Albino","http://data.europa.eu/c4p/data/t_6_nl","Albino Galvano","reject"
"/08614/cat72376","Gekleurd","http://data.europa.eu/c4p/data/t_49_nl","Gekleurde vlootopnamen van enkele opstomende kruisers.","reject"
"/08614/poster1182","Boy","http://data.europa.eu/c4p/data/t_21_nl","Her spoiled boy","reject"
"/08623/12795","Pionier","http://data.europa.eu/c4p/data/t_119_nl","Documentaire over de geschiedenis van het vliegtuig.


	De titel van de documentaire ontbreekt. De documentaire begint met beelden van het eerste motorvliegtuig, dat in 1903 uitgevonden is door de gebroeders Wright. Vliegtuig staat aan de grond. Persoon neemt plaats achter het stuur. Vliegtuig stijgt op. Shot van piloot, die het vliegtuig bestuurt, vanuit de lucht. 
	In 1909 stak Louis Blériot het Kanaal per vliegtuig over van Calais naar Dover. (Het is echter niet zeker of het gaat om opnamen van de historische gebeurtenis of om opnamen die op een ander tijdstip gefilmd zijn.) Propellorvliegtuig. Persoon zit in vliegtuig (vermoedelijk is dit Bériot). Vliegtuig stijgt op.

	Dankzij deze pioniers werden andere uitvinders ook geïnspireerd tot het ontwerpen van verschillende vliegconstructies.
	(1) Demonstratie op de grond van een vliegconstructie met pedalen en vleugels .
	(2) Miniatuurvliegconstructie. Man sleutelt nog wat en is dan klaar voor vertrek. Het rijdt slechts over de grond, zonder op te stijgen.
	(3) Stalen bol constructie wordt aangereden. Close-up van stalen constructie.
	(4) Een andere schermconstructie: motor met daarbovenop een scherm bevestigd. Constructie springt enkel wat op zijn wielen op en neer, en weigert te vliegen.
	(5) Vliegtuig: Bonney Gull K-1783. Vliegtuig stijgt moeizaam op. Volgend shot laat zien wat ervan over is nadat het neergestort is. Mensen staan aandachtig kijkend rondom de brokstukken.
	(6) Op het strand wordt een vliegtuig met twee wielen en twee vleugels, waartussen de piloot staat, voortgetrokken door een touw. Het wordt op afstand gevolgd door enkele wagens. Al snel stort het in elkaar. Een aantal mannen helpt de piloot, die afgezien van een aantal kleerscheuren ongedeerd uit het gevaarte kruipt.

	Een belangrijke impuls voor de ontwikkeling van het vliegtuig ontstond tijdens de Eerste Wereldoorlog, waarin de noodzaak van snelle vliegtuigen die een aardige afstand konden afleggen steeds groter werd. (a) Gefilmd vanuit een vliegtuig dat in de lucht vliegt, en zicht heeft op vijf andere vliegtuigen die in nabijheid vliegen. Longshot van vliegtuigen die een V vormen in de lucht en vervolgens boven water en land vliegen. Onder hen vaart een boot. (b) Torpedo wordt onder vliegtuig bevestigd. Verschillende vliegtuigen vliegen over water en laten bommen vallen. (c) Groot vliegtuig waarvanuit de laadruimte te zien is hoe de bommen vallen en op land exploderen. (d) De bescherming van handelsschepen op open zee. Twee vliegtuigen cirkelen rondom een handelsschip en laten een dik rookgordijn achter waardoor het schip onzichtbaar wordt voor oorlogsschepen. (e) Vliegtuig staat aan de grond: Junkers / Rohrbach Romal. Het wordt met de hulp van velen de landingsbaan opgeduwd. (f) ""Do X,"" een 12-motorig vliegtuig vaart over het water en stijgt op. (g) Verkorten van de afstand die nodig is voor het stijgen en landen. Op de grond wordt een demonstratie gegeven van de verstelbare vleugels. Vervolgens is de toepassing hiervan te zien wanneer de piloot opstijgt met zijn vliegtuig en in de lucht rondvliegt. (h) De ""molen vliegtuig"" stijgt op en landt (voorloper van de huidige helikopter). (i) Nieuwe manier van vetrek: vliegtuig wordt gekatapulteerd vanaf een Amerikaans oorlogsschip. (j) Tanken in de lucht. In de lucht wordt een vliegtuig bijgetankt door middel van een slang die de vloeistof rechtstreeks van de ene naar de andere tank overbrengt. (k) Luchtacrobatiek / Vliegkunsten / ""De mens als onbetwiste heerser van de lucht!"".","reject"
"/08623/19397","Verzamelen","http://data.europa.eu/c4p/data/t_155_nl","Documentaire over verschillende processies en carnaval feestelijkheden in België.

	De documentaire begint met beelden van de Noordzee en diverse torens van burchten, kerken en kathedralen. Dit fungeert als achtergrond bij een inleiding over België en zijn roemrijk verleden, waaruit (het houden van) processies als gebruik dateert. 
	Vervolgens zien we beelden van twee reuzen in een processie (op de Grote Markt van Brussel: we zien enkel de toren van het stadhuis) en van een reliekschrijn in Hakendover. Vervolgens beelden van een pelgrimstocht naar het retabel van Hakendover. Vele pelgrims (= boeren) rond de kerk, verkoop van wijwater, sommige pelgrims wandelen over graven. Het schrijn wordt rondgedragen. Vervolgens een processie (nog steeds in Hakendover) waarbij Mariabeeld rondgedragen wordt en men met paarden over velden springt om een goede graanoogst te verzekeren. Nadien wordt een mis opgediend (er is een zeer grote menigte verzameld).
	Reliekschrijn in Doornik, dat zich in kathedraal bevindt. (Processie zelf wordt niet getoond.) Mechelen (beelden van Sint-Rombouts kathedraal) en Brugge (belfort) worden vermeld. 
	Vervolgens een lange sequentie over een bizarre processie, vermoedelijk in Thuin (plaatsnaam is moeilijk te verstaan) waarbij men verkleed als grenadier rondloopt. 
	Na beelden van de Sint-Goedele kerk van Brussel komt de Boeteprocessie van Veurne aan bod. 
	Vervolgens een processie in Mons. Deze lange sequentie bevat mooie beelden van het gevecht van Sint-Joris en de draak (Le Lumeçon): in de drakenstaart zitten paardenharen, wie er een uittrekt, heeft een jaar lang geluk. 
	Dan komen Binche en zijn Gilles aan de beurt, eveneens in een lange en mooie sequentie.
	Tot slot prijst de commentator zich gelukkig dat België deze tradities van processies en carnaval behouden heeft. Met deze mededeling en een laatste beeld van de Noordzee wordt afgesloten.","reject"
"/08623/20074","Tamtam","http://data.europa.eu/c4p/data/t_143_nl","tamtam","accept"
"/08623/20074","Verlossen","http://data.europa.eu/c4p/data/t_153_nl","Deze reportage, naar een idee en met commentaar van pater Jean Gardella, is een promotiefilm voor de Priesters van het Heilig Hart (= missionarissen). 

	We zien hoe kinderen in de scholen van de Priesters van het Heilig Hart onderwezen worden. Ze leren er natuurlijk over Belgisch Kongo. Ze tekenen de kaart van het land, bekijken postzegelcollecties en beelden van olifanten en nijlpaarden. Nadien zien we watervallen en mannen die in bomen klimmen. De leerlingen leren er via de scouts ook een eerste stap zetten naar ""een andere wereld"": beelden van scouts worden afgewisseld met beelden van zwarten (Congolezen) die dansen en muziek maken op tamtam. 
	Beelden van een leerling die dromerig een vrouwenportret tekent in zijn schrift en beelden van jonge vrouwen, doen de commentator toegeven dat er geschreven staat: ""Het is niet goed dat de man alleen blijft, maak voor hem een gezellin."" De commentator vult aan: ""Maar er is een liefde die groter is dan de menselijke liefde"". Hierop worden beelden van jonge vrouwen afgewisseld met shots van noodlijdende, zieke Congolezen. Een jongeman moet een keuze maken tussen beiden.
	Hierop zien we een jongen die de keuze gemaakt heeft. Hij gaat met twee vrouwen (moeder en zus?) naar een klooster. De vrouwen keren zonder hem terug: ""De deur van het noviciaat is achter de kandidaat dichtgeklapt"". De jongen laat zich er de haren knippen. We zien hoe de novicen bidden, handenarbeid doen, om ""de opstandige natuur"" te bedwingen zichzelf tuchtigen (gesuggereerd: we zien een hand een gesel grijpen). 
	Na het noviciaat volgt scholastiek: 6 jaren studeren en ""zoeken naar de verlossende waarheid"". We zien de studenten in de eetzaal (waar gediscussieerd en gelachen wordt) en bij het sporten (voetbal). En dit alles mondt dan uit in de priesterwijding (door een bisschop die niet genoemd wordt.) Deze ""elite van jeugd, kracht en toewijding"" is nu klaar om missionaris te worden. Na beelden van watervallen sluit de film af met een processie in Belgisch Kongo. Tussen de zwarte priesters stapt een blanke priester (onder een baldakijn).","accept"
"/08623/20074","Zwart","http://data.europa.eu/c4p/data/t_160_nl","Deze reportage, naar een idee en met commentaar van pater Jean Gardella, is een promotiefilm voor de Priesters van het Heilig Hart (= missionarissen). 

	We zien hoe kinderen in de scholen van de Priesters van het Heilig Hart onderwezen worden. Ze leren er natuurlijk over Belgisch Kongo. Ze tekenen de kaart van het land, bekijken postzegelcollecties en beelden van olifanten en nijlpaarden. Nadien zien we watervallen en mannen die in bomen klimmen. De leerlingen leren er via de scouts ook een eerste stap zetten naar ""een andere wereld"": beelden van scouts worden afgewisseld met beelden van zwarten (Congolezen) die dansen en muziek maken op tamtam. 
	Beelden van een leerling die dromerig een vrouwenportret tekent in zijn schrift en beelden van jonge vrouwen, doen de commentator toegeven dat er geschreven staat: ""Het is niet goed dat de man alleen blijft, maak voor hem een gezellin."" De commentator vult aan: ""Maar er is een liefde die groter is dan de menselijke liefde"". Hierop worden beelden van jonge vrouwen afgewisseld met shots van noodlijdende, zieke Congolezen. Een jongeman moet een keuze maken tussen beiden.
	Hierop zien we een jongen die de keuze gemaakt heeft. Hij gaat met twee vrouwen (moeder en zus?) naar een klooster. De vrouwen keren zonder hem terug: ""De deur van het noviciaat is achter de kandidaat dichtgeklapt"". De jongen laat zich er de haren knippen. We zien hoe de novicen bidden, handenarbeid doen, om ""de opstandige natuur"" te bedwingen zichzelf tuchtigen (gesuggereerd: we zien een hand een gesel grijpen). 
	Na het noviciaat volgt scholastiek: 6 jaren studeren en ""zoeken naar de verlossende waarheid"". We zien de studenten in de eetzaal (waar gediscussieerd en gelachen wordt) en bij het sporten (voetbal). En dit alles mondt dan uit in de priesterwijding (door een bisschop die niet genoemd wordt.) Deze ""elite van jeugd, kracht en toewijding"" is nu klaar om missionaris te worden. Na beelden van watervallen sluit de film af met een processie in Belgisch Kongo. Tussen de zwarte priesters stapt een blanke priester (onder een baldakijn).","accept"
"/08623/20074","Blank","http://data.europa.eu/c4p/data/t_19_nl","Deze reportage, naar een idee en met commentaar van pater Jean Gardella, is een promotiefilm voor de Priesters van het Heilig Hart (= missionarissen). 

	We zien hoe kinderen in de scholen van de Priesters van het Heilig Hart onderwezen worden. Ze leren er natuurlijk over Belgisch Kongo. Ze tekenen de kaart van het land, bekijken postzegelcollecties en beelden van olifanten en nijlpaarden. Nadien zien we watervallen en mannen die in bomen klimmen. De leerlingen leren er via de scouts ook een eerste stap zetten naar ""een andere wereld"": beelden van scouts worden afgewisseld met beelden van zwarten (Congolezen) die dansen en muziek maken op tamtam. 
	Beelden van een leerling die dromerig een vrouwenportret tekent in zijn schrift en beelden van jonge vrouwen, doen de commentator toegeven dat er geschreven staat: ""Het is niet goed dat de man alleen blijft, maak voor hem een gezellin."" De commentator vult aan: ""Maar er is een liefde die groter is dan de menselijke liefde"". Hierop worden beelden van jonge vrouwen afgewisseld met shots van noodlijdende, zieke Congolezen. Een jongeman moet een keuze maken tussen beiden.
	Hierop zien we een jongen die de keuze gemaakt heeft. Hij gaat met twee vrouwen (moeder en zus?) naar een klooster. De vrouwen keren zonder hem terug: ""De deur van het noviciaat is achter de kandidaat dichtgeklapt"". De jongen laat zich er de haren knippen. We zien hoe de novicen bidden, handenarbeid doen, om ""de opstandige natuur"" te bedwingen zichzelf tuchtigen (gesuggereerd: we zien een hand een gesel grijpen). 
	Na het noviciaat volgt scholastiek: 6 jaren studeren en ""zoeken naar de verlossende waarheid"". We zien de studenten in de eetzaal (waar gediscussieerd en gelachen wordt) en bij het sporten (voetbal). En dit alles mondt dan uit in de priesterwijding (door een bisschop die niet genoemd wordt.) Deze ""elite van jeugd, kracht en toewijding"" is nu klaar om missionaris te worden. Na beelden van watervallen sluit de film af met een processie in Belgisch Kongo. Tussen de zwarte priesters stapt een blanke priester (onder een baldakijn).","accept"
"/2021609/resource_document_museum_rotterdam_http_museumrotterdam_nl_collectie_item_10046_A_E","Metis","http://data.europa.eu/c4p/data/t_91_nl","Gevelsteen met latijnse tekst ""ROboro TE candor: RObur DAnt MUnia Metis / JUS viret ut Laurus, ROTTERODAMe tuum""","reject"
