"uri","term","context","suggestion","source","disambiguation"
"http://data.europa.eu/c4p/data/t_105_de","Farbig","Der Begriff ist eine koloniale Fremdbezeichnung, die Schwarze Menschen und People of Color als Abweichung von der weißen “Norm” betrachtet und eine vermeintliche Hautfarbe beschreibt. Als rassistische Bezeichnung wird sie von vielen deshalb ebenso abgelehnt, wie der Begriff Dunkelhäutige. Zudem meint der Begriff im Deutschen nicht das Gleiche, wie mit den englischen Selbstbezeichnungen Black, Indigenous and People of Color (BIPoC) ausgesagt wird, und ist deshalb nicht synonym verwendbar. Die Verwendung des Begirffs ist angemessen, wenn er sich auf Objekte, Tiere oder Pflanzen bezieht, in Bezug auf Menschen ist er diskriminierend.","Nutzen Sie die Bezeichnung, die von den betroffenen Menschen bzw. von der betroffenen Gemeinschaft selbst verwendet wird und als respektvoll akzeptiert ist.","See: “Farbig/Farbige,”, Glossar Neue deutsche Medienmacher*innen, n.d., accessed May 26, 2024, https://glossar.neuemedienmacher.de/glossar/farbige.","1"
"http://data.europa.eu/c4p/data/t_116_de","Abendland","Der Begriff “Abendland” steht synonym für den “Westen” oder die “westliche Welt” und wird oft aus einer eurozentrischen Perspektive verwendet, die “Okzident” und “Orient” gegenüberstellt. Er beschreibt eine kulturelle Einheit, die weniger geografisch als historisch geprägt ist. Erstmals 1529 verwendet, bezeichnete der Begriff die westlichen Gebiete nach der Teilung des Römischen Reichs. In der deutschen Geschichtsschreibung des 19. Jahrhunderts wurde das Abendland teils positiv als Erbe des lateinischen und katholischen Mittelalters, teils negativ als Ausdruck der “dunklen” Epoche vor der Reformation und Aufklärung betrachtet.","Nutzen Sie die Bezeichnung, die von den betroffenen Menschen bzw. von der betroffenen Gemeinschaft selbst verwendet wird und als respektvoll akzeptiert ist.","“Origins of Christian Democracy - the Concept of Abendland - Danube Institute,” April 7, 2022, accessed November 8, 2024, https://danubeinstitute.hu/en/research/origins-of-christian-democracy-the-concept-of-abendland.","0"
"http://data.europa.eu/c4p/data/t_116_de","Abendland","Der Begriff “Abendland” steht synonym für den “Westen” oder die “westliche Welt” und wird oft aus einer eurozentrischen Perspektive verwendet, die “Okzident” und “Orient” gegenüberstellt. Er beschreibt eine kulturelle Einheit, die weniger geografisch als historisch geprägt ist. Erstmals 1529 verwendet, bezeichnete der Begriff die westlichen Gebiete nach der Teilung des Römischen Reichs. In der deutschen Geschichtsschreibung des 19. Jahrhunderts wurde das Abendland teils positiv als Erbe des lateinischen und katholischen Mittelalters, teils negativ als Ausdruck der “dunklen” Epoche vor der Reformation und Aufklärung betrachtet.","Nutzen Sie die Bezeichnung, die von den betroffenen Menschen bzw. von der betroffenen Gemeinschaft selbst verwendet wird und als respektvoll akzeptiert ist.","“Salzburg Museum: Sammlung-Online,” n.d., accessed November 8, 2024, https://sammlung-online.salzburgmuseum.at/problematische_objekte/glossar.","0"
"http://data.europa.eu/c4p/data/t_122_de","Chinese","Die Bezeichnung kann problematisch sein, wenn sie oberflächlich, verallgemeinernd oder rassistisch verwendet wird. Häufig findet man sie in Beschreibungen aus einer eurozentrischen, kolonialen und diskriminierenden Sichtweise. Zum Beispiel wird der Begriff oft pauschal für alle Menschen mit nordostasiatischem Hintergrund und vermeintlich “typischen” Merkmalen verwendet, unabhängig von ihrer tatsächlichen Herkunft oder Lebenssituation. Ebenso wird er immer wieder für Sammlungsobjekte genutzt, die stereotype und rassistische Darstellungen wiedergeben.","Nutzen Sie die Bezeichnung, die von den betroffenen Menschen bzw. von der betroffenen Gemeinschaft selbst verwendet wird und als respektvoll akzeptiert ist.","“Salzburg Museum: Sammlung-Online,” n.d., accessed November 8, 2024, https://sammlung-online.salzburgmuseum.at/problematische_objekte/glossar.","0"
"http://data.europa.eu/c4p/data/t_123_de","Chinesin","Die Bezeichnung kann problematisch sein, wenn sie oberflächlich, verallgemeinernd oder rassistisch verwendet wird. Häufig findet man sie in Beschreibungen aus einer eurozentrischen, kolonialen und diskriminierenden Sichtweise. Zum Beispiel wird der Begriff oft pauschal für alle Menschen mit nordostasiatischem Hintergrund und vermeintlich “typischen” Merkmalen verwendet, unabhängig von ihrer tatsächlichen Herkunft oder Lebenssituation. Ebenso wird er immer wieder für Sammlungsobjekte genutzt, die stereotype und rassistische Darstellungen wiedergeben.","Nutzen Sie die Bezeichnung, die von den betroffenen Menschen bzw. von der betroffenen Gemeinschaft selbst verwendet wird und als respektvoll akzeptiert ist.","“Salzburg Museum: Sammlung-Online,” n.d., accessed November 8, 2024, https://sammlung-online.salzburgmuseum.at/problematische_objekte/glossar.","0"
"http://data.europa.eu/c4p/data/t_126_de","Häuptling","Der Begriff wurde und wird oft verwendet, um politische Führer in kolonisierten oder zu kolonisierenden Gebieten pauschal zu bezeichnen, unabhängig von deren tatsächlichen Titeln oder den politischen Gegebenheiten vor Ort. Häufig setzten Kolonialmächte sogar gezielt “Häuptlinge” ein, um bestehende Strukturen zu destabilisieren und Abhängigkeiten zu schaffen. Der Begriff ist bis heute von einer kolonialistischen und eurozentrischen Weltsicht geprägt, die nicht-europäische Gesellschaften abwertet. Auffällig ist, dass eine weibliche Form des Begriffs fehlt. In Beschreibungen von Sammlungsobjekten taucht der Begriff oft auf, besonders wenn diese Objekte koloniale und stereotype Darstellungen zeigen.","Nutzen Sie die Bezeichnung, die von den betroffenen Menschen bzw. von der betroffenen Gemeinschaft selbst verwendet wird und als respektvoll akzeptiert ist.","“Salzburg Museum: Sammlung-Online,” n.d., accessed November 8, 2024, https://sammlung-online.salzburgmuseum.at/problematische_objekte/glossar.","0"
"http://data.europa.eu/c4p/data/t_130_de","Morgenland","Der Begriff bezeichnete im Kontext der Lutherbibel den “Orient”. Oft begegnet er in Beschreibungen aus einer eurozentrischen und teilweise diskriminierenden Sichtweise, die den eigenen “Westen” oder “Abendland” dem fremden “Orient” oder “Morgenland” gegenüberstellen. Der Begriff kann, je nach Region und Zeit, Gebiete von der arabischen Welt bis hin zu ost- oder südostasiatischen Regionen umfassen. Häufig wir im Hinblick auf die stereotype Darstellungen von Osmanen oder Mitgliedern arabisch-islamischer Gesellschaften verwendet, etwa durch imaginierte oder äußere Merkmale wie Kleidung und Kopfbedeckung.","Nutzen Sie die Bezeichnung, die von den betroffenen Menschen bzw. von der betroffenen Gemeinschaft selbst verwendet wird und als respektvoll akzeptiert ist.","“Origins of Christian Democracy - the Concept of Abendland - Danube Institute,” April 7, 2022, accessed November 8, 2024, https://danubeinstitute.hu/en/research/origins-of-christian-democracy-the-concept-of-abendland.","0"
"http://data.europa.eu/c4p/data/t_130_de","Morgenland","Der Begriff bezeichnete im Kontext der Lutherbibel den “Orient”. Oft begegnet er in Beschreibungen aus einer eurozentrischen und teilweise diskriminierenden Sichtweise, die den eigenen “Westen” oder “Abendland” dem fremden “Orient” oder “Morgenland” gegenüberstellen. Der Begriff kann, je nach Region und Zeit, Gebiete von der arabischen Welt bis hin zu ost- oder südostasiatischen Regionen umfassen. Häufig wir im Hinblick auf die stereotype Darstellungen von Osmanen oder Mitgliedern arabisch-islamischer Gesellschaften verwendet, etwa durch imaginierte oder äußere Merkmale wie Kleidung und Kopfbedeckung.","Nutzen Sie die Bezeichnung, die von den betroffenen Menschen bzw. von der betroffenen Gemeinschaft selbst verwendet wird und als respektvoll akzeptiert ist.","“Salzburg Museum: Sammlung-Online,” n.d., accessed November 8, 2024, https://sammlung-online.salzburgmuseum.at/problematische_objekte/glossar.","0"
"http://data.europa.eu/c4p/data/t_132_de","Orient","Der Begriff stammt aus dem Lateinischen und bedeutet “Osten”. Er wird oft aus einer eurozentrischen und manchmal diskriminierenden Sichtweise verwendet, die den “eigenen Westen” dem “fremden Orient” oder “Morgenland” gegenüberstellt. Je nach Region und Zeit kann er arabische sowie ost- oder südostasiatische Gebiete umfassen. Häufig taucht der Begriff in Beschreibungen von Sammlungsobjekten auf, die stereotype Darstellungen von Osmanen und Mitgliedern arabisch-islamischer Gesellschaften zeigen, oft mit imaginären oder äußeren Merkmalen wie Haaren, Kleidung oder Kopfbedeckungen.","Nutzen Sie die Bezeichnung, die von den betroffenen Menschen bzw. von der betroffenen Gemeinschaft selbst verwendet wird und als respektvoll akzeptiert ist.","“Salzburg Museum: Sammlung-Online,” n.d., accessed November 8, 2024, https://sammlung-online.salzburgmuseum.at/problematische_objekte/glossar.","0"
"http://data.europa.eu/c4p/data/t_135_de","Slawe","Die Bezeichnung ist nicht problematisch, kann es aber sein, wenn sie in einem verallgemeinernden oder rassistischen Kontext verwendet wird, insbesondere in diskriminierenden Beschreibungen, die alle Menschen osteuropäischer Herkunft pauschal als “Slawen” mit vermeintlich “typischen” Eigenschaften darstellen. Slawenfeindlichkeit war im 19. Jahrhundert in Deutschland weit verbreitet und führte zur Diskriminierung und Verfolgung osteuropäischer Menschen, die einer “slawischen Rasse” zugerechnet wurden. In der nationalsozialistischen Ideologie diente die Slawenfeindlichkeit unter anderem als Rechtfertigung für den Angriff auf die Sowjetunion, die Annexion osteuropäischer Gebiete und die unmenschliche Behandlung sowjetischer Kriegsgefangener im Zweiten Weltkrieg.","Nutzen Sie die Bezeichnung, die von den betroffenen Menschen bzw. von der betroffenen Gemeinschaft selbst verwendet wird und als respektvoll akzeptiert ist.","“Salzburg Museum: Sammlung-Online,” n.d., accessed November 8, 2024, https://sammlung-online.salzburgmuseum.at/problematische_objekte/glossar.","0"
