"uri","term","context","suggestion","source","disambiguation"
"http://data.europa.eu/c4p/data/t_110_en","Hispanic","“Hispanic” and “Latino” are terms used to refer to people in the US who are from Spanish-speaking or Latin American countries, or whose ancestors were. While they are often used interchangeably, some make a distinction, with “Hispanic” referring to people from Spanish-speaking countries and “Latino” referring to people from Latin American countries. All Latin American countries are included in both terms, except Brazil. “Hispanic” is controversial among some Latinos, who see it as a government-imposed label. Both terms are ethnic labels, not racial ones.","Adopt the terminology used and accepted as respectful by people from the community themselves.","“Latino Glossary Terms: A Guide for Journalists,” Nieman Reports, November 3, 2020, accessed April 3, 2024, https://niemanreports.org/articles/caution-words-have-meaning/.","0"
"http://data.europa.eu/c4p/data/t_110_en","Hispanic","“Hispanic” and “Latino” are terms used to refer to people in the US who are from Spanish-speaking or Latin American countries, or whose ancestors were. While they are often used interchangeably, some make a distinction, with “Hispanic” referring to people from Spanish-speaking countries and “Latino” referring to people from Latin American countries. All Latin American countries are included in both terms, except Brazil. “Hispanic” is controversial among some Latinos, who see it as a government-imposed label. Both terms are ethnic labels, not racial ones.","Adopt the terminology used and accepted as respectful by people from the community themselves.","“Racial and Ethnic Identity,” apastyle.apa.org, n.d., accessed April 3, 2024, https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/racial-ethnic-minorities.","0"
"http://data.europa.eu/c4p/data/t_110_en","Hispanic","“Hispanic” and “Latino” are terms used to refer to people in the US who are from Spanish-speaking or Latin American countries, or whose ancestors were. While they are often used interchangeably, some make a distinction, with “Hispanic” referring to people from Spanish-speaking countries and “Latino” referring to people from Latin American countries. All Latin American countries are included in both terms, except Brazil. “Hispanic” is controversial among some Latinos, who see it as a government-imposed label. Both terms are ethnic labels, not racial ones.","Adopt the terminology used and accepted as respectful by people from the community themselves.","“Hispanic and Latino (Ethnic Categories),” Wikipedia, November 18, 2024, accessed December 2, 2024, https://en.wikipedia.org/wiki/Hispanic_and_Latino_(ethnic_categories).","0"
"http://data.europa.eu/c4p/data/t_122_en","Indian","In the 16th century, when Christopher Columbus reached the Americas, he mistakenly called the inhabitants “Indians,” believing he had arrived in India. This misnomer was soon used to describe the Indigenous peoples of North America. Because of the term's complicated and divisive history, those who are not part of the First Nations should avoid using it. When used to refer to people from the land of India, the term is appropriate.","Adopt the terminology used and accepted as respectful by people from the community themselves.","Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 116. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.","1"
"http://data.europa.eu/c4p/data/t_122_en","Indian","In the 16th century, when Christopher Columbus reached the Americas, he mistakenly called the inhabitants “Indians,” believing he had arrived in India. This misnomer was soon used to describe the Indigenous peoples of North America. Because of the term's complicated and divisive history, those who are not part of the First Nations should avoid using it. When used to refer to people from the land of India, the term is appropriate.","Adopt the terminology used and accepted as respectful by people from the community themselves.","Andrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/116.","1"
"http://data.europa.eu/c4p/data/t_123_en","Indigenous","Originally applied to plants and animals, in recent decades it has become a legal term for people who have been colonised by Europe. It refers to specific groups who identify with a place as their original homeland, have deep-rooted traditions there, and who have been displaced from their land by colonisation, often resulting in (cultural) genocide. The term is now seen as empowering, partly due to the UN Declaration on the Rights of Indigenous Peoples (2007), but it is broad and should be used carefully when referring to specific groups.","Adopt the terminology used and accepted as respectful by people from the community themselves.","Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 117. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.","1"
"http://data.europa.eu/c4p/data/t_123_en","Indigenous","Originally applied to plants and animals, in recent decades it has become a legal term for people who have been colonised by Europe. It refers to specific groups who identify with a place as their original homeland, have deep-rooted traditions there, and who have been displaced from their land by colonisation, often resulting in (cultural) genocide. The term is now seen as empowering, partly due to the UN Declaration on the Rights of Indigenous Peoples (2007), but it is broad and should be used carefully when referring to specific groups.","Adopt the terminology used and accepted as respectful by people from the community themselves.","Andrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/117.","1"
"http://data.europa.eu/c4p/data/t_140_en","Latino","“Hispanic” and “Latino” are terms used to refer to people in the US who are from Spanish-speaking or Latin American countries, or whose ancestors were. While they are often used interchangeably, some make a distinction, with “Hispanic” referring to people from Spanish-speaking countries and “Latino” referring to people from Latin American countries. All Latin American countries are included in both terms, except Brazil. “Hispanic” is controversial among some Latinos, who see it as a government-imposed label. Both terms are ethnic labels, not racial ones.","Adopt the terminology used and accepted as respectful by people from the community themselves.","“Latino Glossary Terms: A Guide for Journalists,” Nieman Reports, November 3, 2020, accessed April 3, 2024, https://niemanreports.org/articles/caution-words-have-meaning/.","1"
"http://data.europa.eu/c4p/data/t_140_en","Latino","“Hispanic” and “Latino” are terms used to refer to people in the US who are from Spanish-speaking or Latin American countries, or whose ancestors were. While they are often used interchangeably, some make a distinction, with “Hispanic” referring to people from Spanish-speaking countries and “Latino” referring to people from Latin American countries. All Latin American countries are included in both terms, except Brazil. “Hispanic” is controversial among some Latinos, who see it as a government-imposed label. Both terms are ethnic labels, not racial ones.","Adopt the terminology used and accepted as respectful by people from the community themselves.","“Racial and Ethnic Identity,” apastyle.apa.org, n.d., accessed April 3, 2024, https://apastyle.apa.org/style-grammar-guidelines/bias-free-language/racial-ethnic-minorities.","1"
"http://data.europa.eu/c4p/data/t_140_en","Latino","“Hispanic” and “Latino” are terms used to refer to people in the US who are from Spanish-speaking or Latin American countries, or whose ancestors were. While they are often used interchangeably, some make a distinction, with “Hispanic” referring to people from Spanish-speaking countries and “Latino” referring to people from Latin American countries. All Latin American countries are included in both terms, except Brazil. “Hispanic” is controversial among some Latinos, who see it as a government-imposed label. Both terms are ethnic labels, not racial ones.","Adopt the terminology used and accepted as respectful by people from the community themselves.","“Hispanic and Latino (Ethnic Categories),” Wikipedia, November 18, 2024, accessed December 2, 2024, https://en.wikipedia.org/wiki/Hispanic_and_Latino_(ethnic_categories).","1"
