"uri","term","context","suggestion","source","disambiguation"
"http://data.europa.eu/c4p/data/t_124_nl","Pygmee","‘Pygmee’ wordt in de antropologie gebruikt voor verschillende (etnische) groepen uit met name (Equatoriaal) Afrika en Azië (o.a. Nieuw-Guinea), waarvan de volwassen mannen beschouwd worden als ongewoon klein. Deze verwijzing naar uiterlijke kenmerken, maar ook het feit dat de term gebruikt wordt als kritiek op iemands intellectuele capaciteiten, maakt dat sommigen de term als een belediging zien. Tegelijkertijd hebben sommige inheemse volken de term juist opnieuw opgeëist als neutraal en niet-problematisch. Dit is bijvoorbeeld het geval in de Democratische Republiek Congo.","Gebruik terminologie die deze community zelf gebruikt en respectvol vindt.","Tropen Museum et al., eds., “Woorden doen ertoe: Een Incomplete Gids voor woordkeuze binnen de culturele sector,” 2018, 138. https://www.materialculture.nl/sites/default/files/2018-09/WordsMatter_DEF_Totale_PDF_NL.pdf.","0"
"http://data.europa.eu/c4p/data/t_124_nl","Pygmee","‘Pygmee’ wordt in de antropologie gebruikt voor verschillende (etnische) groepen uit met name (Equatoriaal) Afrika en Azië (o.a. Nieuw-Guinea), waarvan de volwassen mannen beschouwd worden als ongewoon klein. Deze verwijzing naar uiterlijke kenmerken, maar ook het feit dat de term gebruikt wordt als kritiek op iemands intellectuele capaciteiten, maakt dat sommigen de term als een belediging zien. Tegelijkertijd hebben sommige inheemse volken de term juist opnieuw opgeëist als neutraal en niet-problematisch. Dit is bijvoorbeeld het geval in de Democratische Republiek Congo.","Gebruik terminologie die deze community zelf gebruikt en respectvol vindt.","Andrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/138_nl.","0"
"http://data.europa.eu/c4p/data/t_148_nl","Trans","‘Trans’ is een overkoepelende term die wordt gebruikt om transgender of transseksuele seksualiteit te beschrijven. Transgender/transseksueel beschrijft mensen wiens genderidentiteit en -uitdrukking afwijkt van wat als typerend wordt beschouwd voor het geslacht dat zij bij de geboorte hebben gekregen. Als een overkoepelende term kan ‘transgender’ een verscheidenheid aan genderidentiteiten en -uitdrukkingen beschrijven, bijvoorbeeld crossdressing. Sommige mensen geven de voorkeur aan de term ‘transgender’. Het gaat dan met name om mensen die van plan zijn om hun lichaam te veranderen in overeenstemming met hun genderidentiteit, of dit al gedaan hebben.","Gebruik terminologie die deze community zelf gebruikt en respectvol vindt.","Tropen Museum et al., eds., “Woorden doen ertoe: Een Incomplete Gids voor woordkeuze binnen de culturele sector,” 2018, 145. https://www.materialculture.nl/sites/default/files/2018-09/WordsMatter_DEF_Totale_PDF_NL.pdf.","1"
"http://data.europa.eu/c4p/data/t_148_nl","Trans","‘Trans’ is een overkoepelende term die wordt gebruikt om transgender of transseksuele seksualiteit te beschrijven. Transgender/transseksueel beschrijft mensen wiens genderidentiteit en -uitdrukking afwijkt van wat als typerend wordt beschouwd voor het geslacht dat zij bij de geboorte hebben gekregen. Als een overkoepelende term kan ‘transgender’ een verscheidenheid aan genderidentiteiten en -uitdrukkingen beschrijven, bijvoorbeeld crossdressing. Sommige mensen geven de voorkeur aan de term ‘transgender’. Het gaat dan met name om mensen die van plan zijn om hun lichaam te veranderen in overeenstemming met hun genderidentiteit, of dit al gedaan hebben.","Gebruik terminologie die deze community zelf gebruikt en respectvol vindt.","Andrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/145_nl.","1"
"http://data.europa.eu/c4p/data/t_149_nl","Travestiet","Term om mensen aan te duiden die zich graag kleden in kledij die geassocieerd wordt met een ander geslacht.","Gebruik terminologie die deze community zelf gebruikt en respectvol vindt.","Tropen Museum et al., eds., “Woorden doen ertoe: Een Incomplete Gids voor woordkeuze binnen de culturele sector,” 2018, 145. https://www.materialculture.nl/sites/default/files/2018-09/WordsMatter_DEF_Totale_PDF_NL.pdf.","0"
"http://data.europa.eu/c4p/data/t_14_nl","Berber","‘Berber’ verwijst naar diverse groepen mensen die in verschillende landen in het noorden van Afrika leven. De term stamt uit de klassieke oudheid en verscheen voor het eerst in Arabische manuscripten in 900 v.C. Velen denken echter ten onrechte dat de term door Europeanen gecreëerd is en gerelateerd is aan de term ‘barbaar' (zie: Barbaar). Hoewel nog steeds gebruikt door veel mensen die zichzelf als Berber beschouwen, raakt het uit de gratie en geven steeds meer mensen de voorkeur aan de term ‘Amazigh’.","Gebruik terminologie die deze community zelf gebruikt en respectvol vindt.","Tropen Museum et al., eds., “Woorden doen ertoe: Een Incomplete Gids voor woordkeuze binnen de culturele sector,” 2018, 99. https://www.materialculture.nl/sites/default/files/2018-09/WordsMatter_DEF_Totale_PDF_NL.pdf.","0"
"http://data.europa.eu/c4p/data/t_14_nl","Berber","‘Berber’ verwijst naar diverse groepen mensen die in verschillende landen in het noorden van Afrika leven. De term stamt uit de klassieke oudheid en verscheen voor het eerst in Arabische manuscripten in 900 v.C. Velen denken echter ten onrechte dat de term door Europeanen gecreëerd is en gerelateerd is aan de term ‘barbaar' (zie: Barbaar). Hoewel nog steeds gebruikt door veel mensen die zichzelf als Berber beschouwen, raakt het uit de gratie en geven steeds meer mensen de voorkeur aan de term ‘Amazigh’.","Gebruik terminologie die deze community zelf gebruikt en respectvol vindt.","Andrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/99_nl.","0"
"http://data.europa.eu/c4p/data/t_23_nl","Bruin","De term ‘bruin’ werd en wordt gebruikt als raciale classificering van mensen op basis van hun huidskleur. Hoewel de term in die context vooral pejoratieve connotaties heeft, wordt hij in het Nederlands steeds vaker ook gebruikt als zelf-identificatie. Dit gebeurt mede in navolging van de Brown Pride-beweging in de Verenigde Staten die daar eerst in de jaren 1960 opgang maakte.","Gebruik terminologie die deze community zelf gebruikt en respectvol vindt.","“Culturen En Landen” JaJa, February 3, 2022, accessed March 28, 2024, https://jaja.be/dossier-inclusief-taalgebruik/culturen-en-landen/","1"
"http://data.europa.eu/c4p/data/t_23_nl","Bruin","De term ‘bruin’ werd en wordt gebruikt als raciale classificering van mensen op basis van hun huidskleur. Hoewel de term in die context vooral pejoratieve connotaties heeft, wordt hij in het Nederlands steeds vaker ook gebruikt als zelf-identificatie. Dit gebeurt mede in navolging van de Brown Pride-beweging in de Verenigde Staten die daar eerst in de jaren 1960 opgang maakte.","Gebruik terminologie die deze community zelf gebruikt en respectvol vindt.","George Mariscal, Brown-eyed Children of the Sun: Lessons from the Chicano Movement, 1965-1975 (UNM Press, 2005).","1"
"http://data.europa.eu/c4p/data/t_24_nl","Clan","Afhankelijk van de bedoelde samenlevingen of groepen kan het gebruik van termen als ‘clan’ of ‘stam’ negatieve connotaties hebben. Het zijn antropologische termen gebaseerd op Westerse vooruitgangsmodellen, die associaties impliceren met minder ‘geavanceerde’ samenlevingsvormen en onstabiele vormen van sociale organisatie. ‘Clans’ worden daarnaast ook vaak verbonden met eigenschappen als geheimzinnig, ondoorzichtig en corrupt. Als koloniale aanduidingen zijn ‘stam’, ‘etnie’ en ‘clan’ vaak oneigenlijke etnologische categorieën of administratieve indelingen die geen reële grond hebben. In sommige gevallen hebben ze zelfs geleid tot reële conflicten binnen tussen gekoloniseerde gemeenschappen.","Gebruik terminologie die deze community zelf gebruikt en respectvol vindt.","Margaux Vinez, “Division of the Commons and Access to Land on the Frontier: Lessons From the Colonial Legacy in the Democratic Republic of Congo,” Paris School of Economics, February 15, 2017, https://thedocs.worldbank.org/en/doc/748201495654708183-0010022017/original/B2historyabca.pdf.","0"
